# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myPDF[1] c_myPDF[2] c_myPDF[3]
100000 1000
563 5.625 0.479137 13.5966
564 5.635 0.4844 13.6348
565 5.645 0.486811 13.6732
566 5.655 0.488081 13.7119
567 5.665 0.488969 13.7508
568 5.675 0.488401 13.7898
569 5.685 0.494712 13.8294
570 5.695 0.498493 13.8695
571 5.705 0.501204 13.91
572 5.715 0.500891 13.9505
573 5.725 0.502281 13.9913
574 5.735 0.510099 14.0329
575 5.745 0.512894 14.0749
576 5.755 0.512836 14.117
577 5.765 0.516062 14.1595
578 5.775 0.517801 14.2023
579 5.785 0.521404 14.2456
580 5.795 0.521941 14.289
581 5.805 0.524309 14.3328
582 5.815 0.530381 14.3773
583 5.825 0.530035 14.4218
584 5.835 0.538001 14.4672
585 5.845 0.537497 14.5128
586 5.855 0.548676 14.5594
587 5.865 0.55109 14.6064
588 5.875 0.554666 14.6538
589 5.885 0.557993 14.7018
590 5.895 0.56275 14.7502
591 5.905 0.564185 14.799
592 5.915 0.569614 14.8484
593 5.925 0.573128 14.8983
594 5.935 0.578731 14.9488
595 5.945 0.58414 15
596 5.955 0.585732 15.0515
597 5.965 0.590014 15.1035
598 5.975 0.594862 15.1562
599 5.985 0.599169 15.2094
600 5.995 0.604546 15.2632
601 6.005 0.606889 15.3175
602 6.015 0.611076 15.3723
603 6.025 0.618604 15.4279
604 6.035 0.619995 15.4839
605 6.045 0.626551 15.5407
606 6.055 0.635913 15.5985
607 6.065 0.645374 15.6573
608 6.075 0.651019 15.7169
609 6.085 0.655893 15.7771
610 6.095 0.661948 15.838
611 6.105 0.665725 15.8996
612 6.115 0.67273 15.9619
613 6.125 0.679056 16.0251
614 6.135 0.684701 16.0889
615 6.145 0.691423 16.1537
616 6.155 0.699911 16.2194
617 6.165 0.709042 16.2862
618 6.175 0.713538 16.3536
619 6.185 0.716328 16.4216
620 6.195 0.726377 16.4907
621 6.205 0.736149 16.5609
622 6.215 0.746848 16.6325
623 6.225 0.754699 16.7049
624 6.235 0.76411 16.7786
625 6.245 0.772013 16.8532
626 6.255 0.778499 16.9287
627 6.265 0.78194 17.0048
628 6.275 0.792571 17.0822
629 6.285 0.801669 17.1607
630 6.295 0.811767 17.2404
631 6.305 0.824857 17.3217
632 6.315 0.833224 17.4041
633 6.325 0.837348 17.4871
634 6.335 0.845142 17.5712
635 6.345 0.85691 17.6567
